Fecha;Recurso;Codigo Agente;Version;Hora;Valor;Precio ofertado;MPO;Tecnologia;Ajuste;Precio ajustado
01/02/2016;GUAVIO;ENDG;TX5;0;196997.54;440;440;HIDRAULICA;384.48;384.48
01/02/2016;GUATRON;EPMG;TX5;1;384154.97;425;425;HIDRAULICA;384.48;384.48
01/02/2016;GUATRON;EPMG;TX5;2;228565.77;425;425;HIDRAULICA;384.48;384.48
01/02/2016;GUATRON;EPMG;TX5;3;211303.4;425;425;HIDRAULICA;384.48;384.48
01/02/2016;GUATRON;EPMG;TX5;4;434400.21;425;425;HIDRAULICA;384.48;384.48
01/02/2016;GUAVIO;ENDG;TX5;5;641308.63;440;440;HIDRAULICA;384.48;384.48
01/02/2016;GUAVIO;ENDG;TX5;6;878519;440;440;HIDRAULICA;384.48;384.48
01/02/2016;GUAVIO;ENDG;TX5;7;1141018.35;440;440;HIDRAULICA;384.48;384.48
01/02/2016;CHIVOR;CHVG;TX5;8;211583.83;451.01;451.01;HIDRAULICA;384.48;384.48
01/02/2016;CHIVOR;CHVG;TX5;9;617146.4;451.01;451.01;HIDRAULICA;384.48;384.48
01/02/2016;ALBAN;EPSG;TX5;10;272000;464;464;AUTOG;384.48;464
01/02/2016;SAN CARLOS;ISGG;TX5;11;221796.87;464,001;464,001;HIDRAULICA;384.48;384.48
01/02/2016;ALBAN;EPSG;TX5;12;263856.19;464;464;AUTOG;384.48;464
01/02/2016;ALBAN;EPSG;TX5;13;272000;464;464;AUTOG;384.48;464
01/02/2016;SAN CARLOS;ISGG;TX5;14;374488.72;464,001;464,001;HIDRAULICA;384.48;384.48
01/02/2016;SAN CARLOS;ISGG;TX5;15;328750.14;464,001;464,001;HIDRAULICA;384.48;384.48
01/02/2016;ALBAN;EPSG;TX5;16;272000;464;464;AUTOG;384.48;464
01/02/2016;CHIVOR;CHVG;TX5;17;819532.64;451.01;451.01;HIDRAULICA;384.48;384.48
01/02/2016;SAN CARLOS;ISGG;TX5;18;261365.16;464,001;464,001;HIDRAULICA;384.48;384.48
01/02/2016;SAN CARLOS;ISGG;TX5;19;720762.24;464,001;464,001;HIDRAULICA;384.48;384.48
01/02/2016;SAN CARLOS;ISGG;TX5;20;603909.24;464,001;464,001;HIDRAULICA;384.48;384.48
01/02/2016;SAN CARLOS;ISGG;TX5;21;296895.6;464,001;464,001;HIDRAULICA;384.48;384.48
01/02/2016;CHIVOR;CHVG;TX5;22;648124.98;451.01;451.01;HIDRAULICA;384.48;384.48
01/02/2016;GUAVIO;ENDG;TX5;23;1136486.38;440;440;HIDRAULICA;384.48;384.48
02/02/2016;SAN CARLOS;ISGG;TX5;0;544310.88;416,001;416,001;HIDRAULICA;391,611;391,611
02/02/2016;SAN CARLOS;ISGG;TX5;1;241834.97;416,001;416,001;HIDRAULICA;391,611;391,611
02/02/2016;SAN CARLOS;ISGG;TX5;2;134887.68;416,001;416,001;HIDRAULICA;391,611;391,611
02/02/2016;SAN CARLOS;ISGG;TX5;3;122357.23;416,001;416,001;HIDRAULICA;391,611;391,611
02/02/2016;SAN CARLOS;ISGG;TX5;4;380720.34;416,001;416,001;HIDRAULICA;391,611;391,611
02/02/2016;SAN CARLOS;ISGG;TX5;5;1161304.75;416,001;416,001;HIDRAULICA;391,611;391,611
02/02/2016;SAN CARLOS;ISGG;TX5;6;1240000;416,001;416,001;HIDRAULICA;391,611;391,611
02/02/2016;GUATRON;EPMG;TX5;7;512000;425;425;HIDRAULICA;391,611;391,611
02/02/2016;PORCE III;EPMG;TX5;8;299402.27;480;480;HIDRAULICA;475,946;475,946
02/02/2016;CHIVOR;CHVG;TX5;9;276003.81;481,116;481,116;HIDRAULICA;475,946;475,946
02/02/2016;CHIVOR;CHVG;TX5;10;597557.8;481,116;481,116;HIDRAULICA;475,946;475,946
02/02/2016;CHIVOR;CHVG;TX5;11;868261.88;481,116;481,116;HIDRAULICA;475,946;475,946
02/02/2016;CHIVOR;CHVG;TX5;12;447193.54;481,116;481,116;HIDRAULICA;475,946;475,946
02/02/2016;CHIVOR;CHVG;TX5;13;482757.16;481,116;481,116;HIDRAULICA;475,946;475,946
02/02/2016;CHIVOR;CHVG;TX5;14;864990.94;481,116;481,116;HIDRAULICA;475,946;475,946
02/02/2016;CHIVOR;CHVG;TX5;15;875000;481,116;481,116;HIDRAULICA;475,946;475,946
02/02/2016;CHIVOR;CHVG;TX5;16;683285.8;481,116;481,116;HIDRAULICA;475,946;475,946
02/02/2016;CHIVOR;CHVG;TX5;17;273828.92;481,116;481,116;HIDRAULICA;475,946;475,946
02/02/2016;CHIVOR;CHVG;TX5;18;326559.08;481,116;481,116;HIDRAULICA;475,946;475,946
02/02/2016;CHIVOR;CHVG;TX5;19;768299.86;481,116;481,116;HIDRAULICA;475,946;475,946
02/02/2016;CHIVOR;CHVG;TX5;20;528065.29;481,116;481,116;HIDRAULICA;475,946;475,946
02/02/2016;PORCE III;EPMG;TX5;21;700000;480;480;HIDRAULICA;475,946;475,946
02/02/2016;LA TASAJERA;EPMG;TX5;22;293328.51;450;450;HIDRAULICA;391,611;391,611
02/02/2016;SAN CARLOS;ISGG;TX5;23;1240000;416,001;416,001;HIDRAULICA;391,611;391,611
03/02/2016;GUATAPE;EPMG;TX5;0;420000;400;400;HIDRAULICA;395,616;395,616
03/02/2016;GUATAPE;EPMG;TX5;1;306543.89;400;400;HIDRAULICA;395,616;395,616
03/02/2016;FLORES 1;TMFG;TX5;2;150000;380;380;AUTOG;366,127;380
03/02/2016;FLORES 1;TMFG;TX5;3;150000;380;380;AUTOG;366,127;380
03/02/2016;MERILECTRICA 1;CIVG;TX5;4;165000;395,616;395,616;TERMICA;366,127;395,616
03/02/2016;PORCE II;EPMG;TX5;5;405000;460;460;HIDRAULICA;42,000,001;42,000,001
03/02/2016;BETANIA;ENDG;TX5;6;330000;465;465;HIDRAULICA;42,000,001;42,000,001
03/02/2016;PAGUA;ENDG;TX5;7;463620.07;470;470;HIDRAULICA;42,000,001;42,000,001
03/02/2016;SAN CARLOS;ISGG;TX5;8;496427.92;475,001;475,001;HIDRAULICA;42,000,001;42,000,001
03/02/2016;SAN CARLOS;ISGG;TX5;9;836509.72;475,001;475,001;HIDRAULICA;42,000,001;42,000,001
03/02/2016;SAN CARLOS;ISGG;TX5;10;1183370.71;475,001;475,001;HIDRAULICA;42,000,001;42,000,001
03/02/2016;SAN CARLOS;ISGG;TX5;11;1240000;475,001;475,001;HIDRAULICA;42,000,001;42,000,001
03/02/2016;SAN CARLOS;ISGG;TX5;12;1070814.76;475,001;475,001;HIDRAULICA;42,000,001;42,000,001
03/02/2016;SAN CARLOS;ISGG;TX5;13;1170844.06;475,001;475,001;HIDRAULICA;42,000,001;42,000,001
03/02/2016;SAN CARLOS;ISGG;TX5;14;1240000;475,001;475,001;HIDRAULICA;42,000,001;42,000,001
