Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
1/02/2016;ANTIOQUIA;A. SAN LORENZO;10.779;2,461,800.000;0.4827058824
1/02/2016;ANTIOQUIA;CONCEPCION;1.991;544,200.000;0.4186153846
1/02/2016;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);3.857;1,054,300.000;0.5548947368
1/02/2016;ANTIOQUIA;DESV. MANSO;0.000;;
1/02/2016;ANTIOQUIA;GRANDE;8.437;2,646,200.000;0.3868713450
1/02/2016;ANTIOQUIA;GUADALUPE;13.774;3,765,000.000;1.0787965620
1/02/2016;ANTIOQUIA;GUATAPE;6.570;1,108,500.000;0.3105042017
1/02/2016;ANTIOQUIA;MIEL I;13.909;670,700.000;0.1676750000
1/02/2016;ANTIOQUIA;NARE;16.214;5,720,700.000;0.4910472103
1/02/2016;ANTIOQUIA;PORCE II;37.945;4,830,400.000;0.7285671192
1/02/2016;ANTIOQUIA;PORCE III;9.183;677,500.000;0.5420000000
1/02/2016;ANTIOQUIA;SAN CARLOS;10.366;1,360,700.000;0.6736138614
1/02/2016;ANTIOQUIA;TENCHE;2.672;730,400.000;0.9130000000
1/02/2016;CARIBE;SINU URRA;74.310;798,600.000;0.5959701493
1/02/2016;CENTRO;AMOYA;5.025;586,200.000;0.3596319018
1/02/2016;CENTRO;BETANIA CP;53.370;798,800.000;0.3681105991
1/02/2016;CENTRO;BOGOTA N.R.;0.000;;
1/02/2016;CENTRO;EL QUIMBO;61.990;2,523,100.000;0.4004920635
1/02/2016;CENTRO;PRADO;5.870;69,200.000;0.1098412698
1/02/2016;CENTRO;SOGAMOSO;132.575;4,151,300.000;0.6578922345
1/02/2016;ORIENTE;BATA;5.530;930,700.000;0.3894142259
1/02/2016;ORIENTE;CHUZA;0.520;206,800.000;0.1520588235
1/02/2016;ORIENTE;GUAVIO;9.610;2,247,200.000;0.4906550218
1/02/2016;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2,598,900.000;0.4543531469
1/02/2016;VALLE;ALTOANCHICAYA;14.880;1,584,800.000;0.3855961071
1/02/2016;VALLE;CALIMA;1.350;60,600.000;0.1409302326
1/02/2016;VALLE;CAUCA SALVAJINA;33.120;789,200.000;0.2274351585
1/02/2016;VALLE;DIGUA;15.160;193,600.000;0.6675862069
1/02/2016;VALLE;FLORIDA II;4.310;86,200.000;0.5746666667
2/02/2016;ANTIOQUIA;A. SAN LORENZO;10.571;2,414,300.000;0.4733921569
2/02/2016;ANTIOQUIA;CONCEPCION;1.977;540,400.000;0.4156923077
2/02/2016;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);3.853;1,053,200.000;0.5543157895
2/02/2016;ANTIOQUIA;DESV. MANSO;0.000;;
2/02/2016;ANTIOQUIA;GRANDE;8.699;2,728,400.000;0.3988888889
2/02/2016;ANTIOQUIA;GUADALUPE;13.437;3,672,900.000;1.0524068770
2/02/2016;ANTIOQUIA;GUATAPE;9.730;1,641,600.000;0.4598319328
2/02/2016;ANTIOQUIA;MIEL I;12.529;604,200.000;0.1510500000
2/02/2016;ANTIOQUIA;NARE;11.001;3,881,400.000;0.3331673820
2/02/2016;ANTIOQUIA;PORCE II;40.664;5,176,600.000;0.7807843137
2/02/2016;ANTIOQUIA;PORCE III;4.743;349,900.000;0.2799200000
2/02/2016;ANTIOQUIA;SAN CARLOS;10.374;1,361,700.000;0.6741089109
2/02/2016;ANTIOQUIA;TENCHE;2.651;724,600.000;0.9057500000
2/02/2016;CARIBE;SINU URRA;71.110;764,200.000;0.5702985075
2/02/2016;CENTRO;AMOYA;6.916;806,800.000;0.4949693252
2/02/2016;CENTRO;BETANIA CP;39.310;588,300.000;0.2711059908
2/02/2016;CENTRO;BOGOTA N.R.;0.890;354,000.000;0.1069486405
2/02/2016;CENTRO;EL QUIMBO;41.930;1,706,600.000;0.2708888889
2/02/2016;CENTRO;PRADO;1.590;18,800.000;0.0298412698
2/02/2016;CENTRO;SOGAMOSO;110.531;3,461,000.000;0.5484944532
2/02/2016;ORIENTE;BATA;5.270;886,900.000;0.3710878661
2/02/2016;ORIENTE;CHUZA;0.000;;
2/02/2016;ORIENTE;GUAVIO;13.160;3,077,300.000;0.6718995633
