Fecha;Recurso;Codigo Agente;Version;Hora;Valor;Precio ofertado;MPO;Tecnologia;Ajuste;Precio ajustado
1/02/2016;GUAVIO;ENDG;TX5;0;196997.54;440.00;440.00;HIDRAULICA;384.48;384.48
1/02/2016;GUATRON;EPMG;TX5;1;384154.97;425.00;425.00;HIDRAULICA;384.48;384.48
1/02/2016;GUATRON;EPMG;TX5;2;228565.77;425.00;425.00;HIDRAULICA;384.48;384.48
1/02/2016;GUATRON;EPMG;TX5;3;211303.40;425.00;425.00;HIDRAULICA;384.48;384.48
1/02/2016;GUATRON;EPMG;TX5;4;434400.21;425.00;425.00;HIDRAULICA;384.48;384.48
1/02/2016;GUAVIO;ENDG;TX5;5;641308.63;440.00;440.00;HIDRAULICA;384.48;384.48
1/02/2016;GUAVIO;ENDG;TX5;6;878519.00;440.00;440.00;HIDRAULICA;384.48;384.48
1/02/2016;GUAVIO;ENDG;TX5;7;1141018.35;440.00;440.00;HIDRAULICA;384.48;384.48
1/02/2016;CHIVOR;CHVG;TX5;8;211583.83;451.01;451.01;HIDRAULICA;384.48;384.48
1/02/2016;CHIVOR;CHVG;TX5;9;617146.40;451.01;451.01;HIDRAULICA;384.48;384.48
1/02/2016;ALBAN;EPSG;TX5;10;272000.00;464.00;464.00;AUTOG;384.48;464.00
1/02/2016;SAN CARLOS;ISGG;TX5;11;221796.87;464.00;464.00;HIDRAULICA;384.48;384.48
1/02/2016;ALBAN;EPSG;TX5;12;263856.19;464.00;464.00;AUTOG;384.48;464.00
1/02/2016;ALBAN;EPSG;TX5;13;272000.00;464.00;464.00;AUTOG;384.48;464.00
1/02/2016;SAN CARLOS;ISGG;TX5;14;374488.72;464.00;464.00;HIDRAULICA;384.48;384.48
1/02/2016;SAN CARLOS;ISGG;TX5;15;328750.14;464.00;464.00;HIDRAULICA;384.48;384.48
1/02/2016;ALBAN;EPSG;TX5;16;272000.00;464.00;464.00;AUTOG;384.48;464.00
1/02/2016;CHIVOR;CHVG;TX5;17;819532.64;451.01;451.01;HIDRAULICA;384.48;384.48
1/02/2016;SAN CARLOS;ISGG;TX5;18;261365.16;464.00;464.00;HIDRAULICA;384.48;384.48
1/02/2016;SAN CARLOS;ISGG;TX5;19;720762.24;464.00;464.00;HIDRAULICA;384.48;384.48
1/02/2016;SAN CARLOS;ISGG;TX5;20;603909.24;464.00;464.00;HIDRAULICA;384.48;384.48
1/02/2016;SAN CARLOS;ISGG;TX5;21;296895.60;464.00;464.00;HIDRAULICA;384.48;384.48
1/02/2016;CHIVOR;CHVG;TX5;22;648124.98;451.01;451.01;HIDRAULICA;384.48;384.48
1/02/2016;GUAVIO;ENDG;TX5;23;1136486.38;440.00;440.00;HIDRAULICA;384.48;384.48
2/02/2016;SAN CARLOS;ISGG;TX5;0;544310.88;416.00;416.00;HIDRAULICA;391.61;391.61
2/02/2016;SAN CARLOS;ISGG;TX5;1;241834.97;416.00;416.00;HIDRAULICA;391.61;391.61
2/02/2016;SAN CARLOS;ISGG;TX5;2;134887.68;416.00;416.00;HIDRAULICA;391.61;391.61
2/02/2016;SAN CARLOS;ISGG;TX5;3;122357.23;416.00;416.00;HIDRAULICA;391.61;391.61
2/02/2016;SAN CARLOS;ISGG;TX5;4;380720.34;416.00;416.00;HIDRAULICA;391.61;391.61
2/02/2016;SAN CARLOS;ISGG;TX5;5;1161304.75;416.00;416.00;HIDRAULICA;391.61;391.61
2/02/2016;SAN CARLOS;ISGG;TX5;6;1240000.00;416.00;416.00;HIDRAULICA;391.61;391.61
2/02/2016;GUATRON;EPMG;TX5;7;512000.00;425.00;425.00;HIDRAULICA;391.61;391.61
2/02/2016;PORCE III;EPMG;TX5;8;299402.27;480.00;480.00;HIDRAULICA;475.95;475.95
2/02/2016;CHIVOR;CHVG;TX5;9;276003.81;481.12;481.12;HIDRAULICA;475.95;475.95
2/02/2016;CHIVOR;CHVG;TX5;10;597557.80;481.12;481.12;HIDRAULICA;475.95;475.95
2/02/2016;CHIVOR;CHVG;TX5;11;868261.88;481.12;481.12;HIDRAULICA;475.95;475.95
2/02/2016;CHIVOR;CHVG;TX5;12;447193.54;481.12;481.12;HIDRAULICA;475.95;475.95
2/02/2016;CHIVOR;CHVG;TX5;13;482757.16;481.12;481.12;HIDRAULICA;475.95;475.95
2/02/2016;CHIVOR;CHVG;TX5;14;864990.94;481.12;481.12;HIDRAULICA;475.95;475.95
2/02/2016;CHIVOR;CHVG;TX5;15;875000.00;481.12;481.12;HIDRAULICA;475.95;475.95
2/02/2016;CHIVOR;CHVG;TX5;16;683285.80;481.12;481.12;HIDRAULICA;475.95;475.95
2/02/2016;CHIVOR;CHVG;TX5;17;273828.92;481.12;481.12;HIDRAULICA;475.95;475.95
2/02/2016;CHIVOR;CHVG;TX5;18;326559.08;481.12;481.12;HIDRAULICA;475.95;475.95
2/02/2016;CHIVOR;CHVG;TX5;19;768299.86;481.12;481.12;HIDRAULICA;475.95;475.95
2/02/2016;CHIVOR;CHVG;TX5;20;528065.29;481.12;481.12;HIDRAULICA;475.95;475.95
