Codigo SIC;Nombre Recurso;Capacidad Efectiva Neta [MW];Factor de Conversi�n;Es Menor;Tipo Despacho;Combustible por Defecto;Fecha Operaci�n;Municipio;Departamento;Agente Representante;Estado Recurso;Tipo Generaci�n;Clasificaci�n
3KL4;POWER PLANT DRUMMOND 1;19.9;10;SI;ND;GAS;22/04/2024;EL PASO;CESAR;DRUMMOND POWER S.A.S. E.S.P.;OPERACI�N;TERMICA;AUTOGENERADOR
3KLQ;AUTOG TERMOMACAGUA 1;4.9;0;NO;ND;GAS;29/06/2024;TAME;ARAUCA;GENERSA S.A.S. E.S.P.;OPERACI�N;TERMICA;AUTOGENERADOR
3JNR;AUTOG UNIBOL 1;4.9;7.5;SI;ND;GAS;11/02/2024;BARRANQUILLA;ATL�NTICO;ENERCO S.A. E.S.P.;OPERACI�N;TERMICA;AUTOGENERADOR
TCBE;TERMOCARIBE III 1;52;9;NO;DC;GAS;21/03/2024;SANTA ROSADE LIMA;BOL�VAR;TERMO CARIBE S.A.S. E.S.P.;OPERACI�N;TERMICA;NORMAL
3C3X;AUTOG INGENIO MARIA LUISA 1;1.8;0;SI;ND;BAGAZO;14/08/2021;FLORIDA;VALLE DEL CAUCA;DEPI ENERGY S.A.S. E.S.P.;OPERACI�N;TERMICA;AUTOGENERADOR
3AXV;AGPE INGENIO DE OCCIDENTE;1;0;NO;ND;BAGAZO;4/03/2021;VILLA RICA;CAUCA;EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.;OPERACI�N;TERMICA;AUTOG PEQ. ESCALA
3AL6;AGPE ENTREPALMAS;0.5;0;NO;ND;BIOGAS;31/12/2020;SAN MARTIN;META;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;TERMICA;AUTOG PEQ. ESCALA
2YQO;AUTOG FERTICOL;17;1;NO;ND;GAS;28/02/2020;BARRANCABERMEJA;SANTANDER;CEMEX ENERGY S.A.S E.S.P.;INACTIVO;TERMICA;AUTOGENERADOR
2YWY;AUTOG TURGAS;3.5;1;NO;ND;GAS;8/02/2020;MARIQUITA;TOLIMA;TERMOPIEDRAS S.A. E.S.P.;OPERACI�N;TERMICA;AUTOGENERADOR
2YB9;AUTOG ECOPETROL ORITO;4;0;NO;ND;GAS;7/11/2019;ORITO;PUTUMAYO;GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.;PRUEBAS;TERMICA;AUTOGENERADOR
2XXR;AGPE - ECOPETROL LA HORMIGA;1;1;NO;ND;GAS;16/09/2019;VALLE DEL GUAMUEZ;PUTUMAYO;GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.;OPERACI�N;TERMICA;AUTOG PEQ. ESCALA
2Y2T;AUTOG CDS TM2500;19.9;0;NO;ND;GAS;31/10/2019;VILLAVICENCIO;META;ELECTRIFICADORA DEL META S.A. E.S.P.;INACTIVO;TERMICA;AUTOGENERADOR
2XXX;AUTOG TERMOSURIA;19.9;0;NO;ND;GAS;31/10/2019;VILLAVICENCIO;META;ELECTRIFICADORA DEL META S.A. E.S.P.;INACTIVO;TERMICA;AUTOGENERADOR
TYP5;TERMOYOPAL G5;50;81;NO;DC;GAS;11/02/2021;YOPAL;CASANARE;TERMOYOPAL GENERACION 2 S.A.S E.S.P.;OPERACI�N;TERMICA;NORMAL
TYP4;TERMOYOPAL G4;50;84;NO;DC;GAS;31/08/2020;YOPAL;CASANARE;TERMOYOPAL GENERACION 2 S.A.S E.S.P.;OPERACI�N;TERMICA;NORMAL
TYP3;TERMOYOPAL G3;50;85;NO;DC;GAS;31/08/2020;YOPAL;CASANARE;TERMOYOPAL GENERACION 2 S.A.S E.S.P.;OPERACI�N;TERMICA;NORMAL
2WFN;TERMOCAPACHOS 1;9.9;0;SI;ND;GAS;4/08/2019;TAME;ARAUCA;GENERSA S.A.S. E.S.P.;OPERACI�N;TERMICA;NORMAL
2W4Y;AUTOG FAMILIA;1;1;NO;ND;GAS;23/03/2019;MEDELL�N;ANTIOQUIA;DEPI ENERGY S.A.S. E.S.P.;INACTIVO;TERMICA;AUTOGENERADOR
2V27;AUTOG COCA-COLA FEMSA 1;2.44;0;SI;ND;GAS;25/07/2018;TOCANCIPA;CUNDINAMARCA;DEPI ENERGY S.A.S. E.S.P.;OPERACI�N;TERMICA;AUTOGENERADOR
2U91;TERMOMECHERO 6;19.3;0;SI;ND;GAS;2/02/2018;YOPAL;CASANARE;TERMO MECHERO MORRO S.A.S E.S.P;OPERACI�N;TERMICA;NORMAL
2U8Y;TERMOMECHERO 5;19.3;0;SI;ND;GAS;16/12/2017;YOPAL;CASANARE;TERMO MECHERO MORRO S.A.S E.S.P;OPERACI�N;TERMICA;NORMAL
2U93;TERMOMECHERO 4;19.3;0;SI;ND;GAS;2/02/2018;YOPAL;CASANARE;TERMO MECHERO MORRO S.A.S E.S.P;OPERACI�N;TERMICA;NORMAL
GE32;GECELCA 32;270;102;NO;DC;CARBON;28/09/2018;PTO. LIBERTADOR;C�RDOBA;GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
2U5P;PROENCA II 1;17;0;SI;ND;CARBON;10/10/2017;GUACHEN�;CAUCA;PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
2S9Q;TEQUENDAMA BIOGAS 1;2.25;0;SI;ND;BIOGAS;25/06/2016;FUNDACION;MAGDALENA;VOLTAJE EMPRESARIAL S.A.S. E.S.P.;OPERACI�N;TERMICA;NORMAL
2S8S;DO�A JUANA 1;1.7;0;SI;ND;BIOGAS;29/04/2016;BOGOTA D.C;BOGOT�. D.C.;BIOGAS COLOMBIA S.A.S. E.S.P;OPERACI�N;TERMICA;NORMAL
2S8I;AUTOG REFICAR 1;9.9;0;NO;ND;GAS;26/04/2016;CARTAGENA;BOL�VAR;GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.;OPERACI�N;TERMICA;AUTOGENERADOR
2S6Q;AUTOG YAGUARITO;1.6;0;NO;ND;BIOGAS;22/03/2016;SAN CARLOSGUAROA;META;ELECTRIFICADORA DEL META S.A. E.S.P.;OPERACI�N;TERMICA;AUTOGENERADOR
2S6S;AUTOG ARGOS YUMBO 1;9.9;0;SI;ND;CARBON;20/03/2016;YUMBO;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;TERMICA;AUTOGENERADOR
2V25;AUTOG ARGOS SOGAMOSO 1;15;0;NO;ND;CARBON;2/10/2018;SOGAMOSO;BOYAC�;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;TERMICA;AUTOGENERADOR
ARG1;AUTOG ARGOS CARTAGENA 1;16;8.95;NO;ND;GAS;15/03/2016;CARTAGENA;BOL�VAR;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;TERMICA;AUTOGENERADOR
TMB1;TERMOBOLIVAR 1;9.7;0;SI;ND;GAS;4/03/2016;TOPAGA;BOYAC�;GENERSA S.A.S. E.S.P.;OPERACI�N;TERMICA;NORMAL
TSJ2;TASAJERO 2;170;102;NO;DC;CARBON;30/11/2015;SAN CAYETANO;NORTE DE SANTANDER;TERMOTASAJERO DOS S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
PRF1;PURIFICACION;8;11;SI;ND;GAS;25/11/2014;PURIFICACION;TOLIMA;SURENERGY S.A.S. E.S.P.;INACTIVO;TERMICA;NORMAL
GEC3;GECELCA 3;164;101;NO;DC;CARBON;17/09/2015;PTO. LIBERTADOR;C�RDOBA;GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
CTM1;EL MORRO 1;19.9;12.4;SI;ND;GAS;23/05/2007;YOPAL;CASANARE;TERMOYOPAL GENERACION 2 S.A.S E.S.P.;INACTIVO;TERMICA;NORMAL
CTM2;EL MORRO 2;19.9;13.84;SI;ND;GAS;9/08/2007;YOPAL;CASANARE;TERMOYOPAL GENERACION 2 S.A.S E.S.P.;INACTIVO;TERMICA;NORMAL
CIMR;CIMARRON;19.9;13.5;SI;ND;GAS;18/08/2007;YOPAL;CASANARE;TERMOYOPAL GENERACION 2 S.A.S E.S.P.;INACTIVO;TERMICA;NORMAL
TPD1;TERMOPIEDRAS 1;3.75;0.0001;SI;ND;GAS;30/12/1999;PIEDRAS;TOLIMA;TERMOPIEDRAS S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
PPA4;PAIPA 4;165;93;NO;DC;CARBON;8/01/1999;PAIPA;BOYAC�;COMPA��A EL�CTRICA DE SOCHAGOTA S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
MRL1;MERILECTRICA 1;164;90;NO;DC;GAS;5/02/1998;BARRANCABERMEJA;SANTANDER;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
TDR1;TERMODORADA 1;50;10;NO;DC;GAS;11/08/1997;LA DORADA;CALDAS;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;TERMICA;NORMAL
ZPA5;ZIPAEMG 5;63;127;NO;DC;CARBON;14/12/1985;TOCANCIPA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;TERMICA;NORMAL
ZPA4;ZIPAEMG 4;64;130;NO;DC;CARBON;1/04/1981;TOCANCIPA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;TERMICA;NORMAL
ZPA3;ZIPAEMG 3;63;117;NO;DC;CARBON;1/01/1976;TOCANCIPA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;TERMICA;NORMAL
ZPA2;ZIPAEMG 2;36;114;NO;DC;CARBON;1/01/1964;TOCANCIPA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;TERMICA;NORMAL
TSJ1;TASAJERO 1;165;92;NO;DC;CARBON;20/02/1985;SAN CAYETANO;NORTE DE SANTANDER;TERMOTASAJERO S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
PRG2;PROELECTRICA 2;45;81;NO;DC;GAS;1/07/1993;CARTAGENA;BOL�VAR;PROELECTRICA S.A.S E.S.P.;OPERACI�N;TERMICA;NORMAL
PRG1;PROELECTRICA 1;45;83;NO;DC;GAS;1/07/1993;CARTAGENA;BOL�VAR;PROELECTRICA S.A.S E.S.P.;OPERACI�N;TERMICA;NORMAL
PLQ3;PALENQUE 3;13;143;NO;DC;GAS;1/01/1972;GIRON;SANTANDER;ELECTRIFICADORA DE SANTANDER S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
PPA3;PAIPA 3;70;114;NO;DC;CARBON;6/05/1982;PAIPA;BOYAC�;GESTION ENERGETICA S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
PPA2;PAIPA 2;72;106;NO;DC;CARBON;1/01/1975;PAIPA;BOYAC�;GESTION ENERGETICA S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
PPA1;PAIPA 1;36;124;NO;DC;CARBON;1/01/1963;PAIPA;BOYAC�;GESTION ENERGETICA S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
TGJ2;GUAJIRA 2;130;10;NO;DC;MEZCLA GAS - CARB�N;23/11/1987;DIBULLA;LA GUAJIRA;GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
TGJ1;GUAJIRA 1;145;102;NO;DC;CARBON;8/08/1983;DIBULLA;LA GUAJIRA;GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.;OPERACI�N;TERMICA;NORMAL
VLL1;VALLE 1;39.5;0;NO;DC;ACPM;1/01/1994;CALI;VALLE DEL CAUCA;CENTRAL HIDROELECTRICA DE BETANIA S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
TBU3;TIBU 3;5;0;NO;DC;DIESEL MAR;1/01/1965;TIBU;NORTE DE SANTANDER;CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
TBU2;TIBU 2;5;0;NO;DC;DIESEL MAR;1/01/1965;TIBU;NORTE DE SANTANDER;CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
TBU1;TIBU 1;5;0;NO;DC;DIESEL MAR;1/01/1965;TIBU;NORTE DE SANTANDER;CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
RMAR;RIOMAR 1;9;0;NO;DC;GAS;20/07/1995;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
PLQ4;PALENQUE 4;14;0;NO;DC;GAS;20/07/1995;GIRON;SANTANDER;ELECTRIFICADORA DE SANTANDER S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
LNN4;LA UNION 4;9;0;NO;DC;GAS;1/01/1971;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
LNN3;LA UNION 3;18;0;NO;DC;GAS;1/01/1971;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
LNN2;LA UNION 2;9;0;NO;DC;GAS;1/01/1971;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
LNN1;LA UNION 1;8;0;NO;DC;GAS;1/01/1971;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
ERO8;EL RIO 8;11;0;NO;DC;GAS;1/01/1972;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
ERO7;EL RIO 7;10;0;NO;DC;GAS;1/01/1972;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
CTG3;CARTAGENA 3;66;12;NO;DC;GAS;1/01/1980;CARTAGENA;BOL�VAR;NITRO ENERGY COLOMBIA S.A.S. E.S.P.;OPERACI�N;TERMICA;NORMAL
CTG2;CARTAGENA 2;60;118;NO;DC;GAS;1/01/1980;CARTAGENA;BOL�VAR;NITRO ENERGY COLOMBIA S.A.S. E.S.P.;OPERACI�N;TERMICA;NORMAL
CTG1;CARTAGENA 1;52;14;NO;DC;GAS;20/07/1995;CARTAGENA;BOL�VAR;NITRO ENERGY COLOMBIA S.A.S. E.S.P.;OPERACI�N;TERMICA;NORMAL
TBQ4;BARRANQUILLA 4;60;117;NO;DC;GAS;1/01/1980;SOLEDAD;ATL�NTICO;TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS;OPERACI�N;TERMICA;NORMAL
TBQ3;BARRANQUILLA 3;60;105;NO;DC;GAS;1/01/1980;SOLEDAD;ATL�NTICO;TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS;OPERACI�N;TERMICA;NORMAL
TYP1;TERMOYOPAL 1;8;136;NO;DC;GAS;1/12/2020;YOPAL;CASANARE;TERMOYOPAL GENERACION 2 S.A.S E.S.P.;OPERACI�N;TERMICA;NORMAL
TYP2;TERMOYOPAL 2;28;120;NO;DC;GAS;29/07/2004;YOPAL;CASANARE;TERMOYOPAL GENERACION 2 S.A.S E.S.P.;OPERACI�N;TERMICA;NORMAL
BRN3;BARRANCA 3;24;0;NO;DC;ACPM;20/03/2016;BARRANCABERMEJA;SANTANDER;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;INACTIVO;TERMICA;NORMAL
BRN2;BARRANCA 2;12;0;SI;DC;GAS;1/02/2016;BARRANCABERMEJA;SANTANDER;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;INACTIVO;TERMICA;NORMAL
BRN1;BARRANCA 1;12;13.26;SI;DC;ACPM;20/03/2016;BARRANCABERMEJA;SANTANDER;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;INACTIVO;TERMICA;NORMAL
ERO6;EL RIO 6;10;0;NO;DC;GAS;1/01/1972;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
ERO5;EL RIO 5;4;0;NO;DC;GAS;1/01/1972;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
ERO4;EL RIO 4;4.5;0;NO;DC;GAS;1/01/1972;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
ERO3;EL RIO 3;4.5;0;NO;DC;GAS;1/01/1972;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
ERO2;EL RIO 2;4;0;NO;DC;GAS;1/01/1972;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
ERO1;EL RIO 1;1.8;0;NO;DC;GAS;1/01/1972;BARRANQUILLA;ATL�NTICO;ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
BLL2;BALLENA 2;13;0;NO;DC;GAS;1/01/1983;RIOHACHA;LA GUAJIRA;CORPORACION ELECTRICA DE LA COSTA ATLANTICA S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
BLL1;BALLENA 1;13;0;NO;DC;GAS;1/01/1983;RIOHACHA;LA GUAJIRA;CORPORACION ELECTRICA DE LA COSTA ATLANTICA S.A. E.S.P.;INACTIVO;TERMICA;NORMAL
3NU4;GD FINCA JM;0.99;0;SI;ND;RAD SOLAR;16/09/2024;SANTO TOMAS;ATL�NTICO;GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3N5E;AGPE SUB LIBERTADOR;0.02;0;SI;ND;RAD SOLAR;18/07/2024;SANTA MARTA;MAGDALENA;AIR- E S.A.S. E.S.P. - INTERVENIDO;OPERACI�N;SOLAR;AUTOG PEQ. ESCALA
3NDE;GD ERCO TOLDADO;0.99;0;SI;ND;RAD SOLAR;19/09/2024;ORTEGA;TOLIMA;ERCO GENERACION S.A.S. ESP;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3NLE;GD NAOS I;0.96;0;SI;ND;RAD SOLAR;27/08/2024;TAMINANGO;NARI�O;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3MS2;CELSIA SOLAR PUERTO TEJADA;19.9;0;NO;ND;RAD SOLAR;31/05/2024;PUERTO TEJADA;CAUCA;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR
3MHB;MINIGRANJA LA PAZ VALLENATA;0.996;0;SI;ND;RAD SOLAR;13/08/2024;ROBLES (LA PAZ);CESAR;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3KVZ;AUTOG BIOS CONTEGRAL CARTAGO;3;0;SI;ND;RAD SOLAR;24/05/2024;CARTAGO;VALLE DEL CAUCA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;SOLAR;AUTOGENERADOR
3KOD;ECOPARQUE SOLAR BRISAS;4;0;SI;ND;RAD SOLAR;27/04/2024;AIPE;HUILA;GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.;INACTIVO;SOLAR;AUTOGENERADOR
3KXQ;AUTOG BIOS CONTEGRAL NEIVA;1.6;0;SI;ND;RAD SOLAR;24/05/2024;NEIVA;HUILA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;SOLAR;AUTOGENERADOR
3NLZ;SOLAR OLD T;9.9;0;SI;ND;RAD SOLAR;30/04/2024;TOLUVIEJO;SUCRE;VATIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL
3K8A;CELSIA SOLAR ALUMINA;2;0;NO;ND;RAD SOLAR;24/03/2024;YUMBO;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;SOLAR;AUTOGENERADOR
3NR8;LA INGLESA;0.996;0;SI;ND;RAD SOLAR;16/09/2024;SAN DIEGO;CESAR;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3KOL;GD PALERMO;0.975;0;SI;ND;RAD SOLAR;29/02/2024;FLANDES;TOLIMA;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;GEN. DISTRIBUIDA
3JPC;GD CHICORAL;0.975;0;SI;ND;RAD SOLAR;19/05/2024;FLANDES;TOLIMA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3JPE;GD LOS CHORROS;0.6;0;SI;ND;RAD SOLAR;16/02/2024;FLANDES;TOLIMA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3JQA;GD EL BANCO;0.975;0;SI;ND;RAD SOLAR;22/02/2024;ARMERO;TOLIMA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3NGJ;GD CHIMBI;0.975;0;SI;ND;RAD SOLAR;28/08/2024;CARMEN DEAPICALA;TOLIMA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3JP8;GD LA URIBE;0.6;0;SI;ND;RAD SOLAR;14/03/2024;LA VICTORIA;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3K6X;GD LA HONDA;0.975;0;SI;ND;RAD SOLAR;14/03/2024;LA VICTORIA;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3JPA;GD ALFEREZ;0.6;0;SI;ND;RAD SOLAR;22/02/2024;CALI;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3JP6;GD BASILICA;0.975;0;SI;ND;RAD SOLAR;16/02/2024;BUGA;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3JQC;GANDALF;0.996;0;SI;ND;RAD SOLAR;22/02/2024;SAN DIEGO;CESAR;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3JQE;CANAHUATE;0.996;0;SI;ND;RAD SOLAR;22/02/2024;SAN DIEGO;CESAR;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3JPM;BARAYA;0.996;0;SI;ND;RAD SOLAR;18/02/2024;GALERAS;SUCRE;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
3K6T;SOLAR ALEJANDRIA;9.4;0;SI;ND;RAD SOLAR;27/04/2024;PLANETA RICA;C�RDOBA;GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.;OPERACI�N;SOLAR;NORMAL
3JPK;MINIGRANJA SAN PEDRO;0.9959;0;SI;ND;RAD SOLAR;27/02/2024;SAN PEDRO;SUCRE;NITRO ENERGY COLOMBIA S.A.S. E.S.P.;OPERACI�N;SOLAR;GEN. DISTRIBUIDA
