Fecha;Region Hidrologica;Nombre Embalse;Volumen Útil Diario Mm3;Volumen Útil Diario Energía kWh;Volumen Útil Díario %;Volumen Mm3;Volumen Energía kWh;Volumen %
1/02/2024;ANTIOQUIA;ITUANGO;30.656;15328000;0.058727969;1329.656;664828000;0.730179023
1/02/2024;ANTIOQUIA;MIRAFLORES;75.09;249704300;0.547622551;80.41;267395400;0.564518364
1/02/2024;ANTIOQUIA;PENOL;664.493;2627206000;0.637599078;742.333;2934962000;0.66278549
1/02/2024;ANTIOQUIA;PLAYAS;40.185;79252900;0.836839271;59.755;117848800;0.884080403
1/02/2024;ANTIOQUIA;PORCE II;33.3;47675600;0.387750268;72.09;103211300;0.578246834
1/02/2024;ANTIOQUIA;PORCE III;58.356;49853500;0.444447555;87.826;75029800;0.546283862
1/02/2024;ANTIOQUIA;PUNCHINA;14.93;22262100;0.339935897;28.85;43018200;0.498789359
1/02/2024;ANTIOQUIA;RIOGRANDE2;86.088;346452500;0.620319846;134.018;539342000;0.71778689
1/02/2024;ANTIOQUIA;SAN LORENZO;112.81;296949800;0.69847077;129.67;341330300;0.726971937
1/02/2024;ANTIOQUIA;TRONERAS;8.728;29024100;0.454583471;17.178;57123700;0.621265592
1/02/2024;CALDAS;AMANI;297.83;162764100;0.696629498;344.11;188056100;0.726261524
1/02/2024;CARIBE;URRA1;847.09;113340600;0.698129743;1201.1;160707200;0.766310754
1/02/2024;CENTRO;AGREGADO BOGOTA;536.697;2389858100;0.5986648;536.697;2389858100;0.5986648
1/02/2024;CENTRO;BETANIA;513.857;84169800;0.697843611;969.357;158780700;0.813321427
1/02/2024;CENTRO;EL QUIMBO;965.383;451606200;0.420638886;1430.203;669049000;0.518215807
1/02/2024;CENTRO;MUNA;6.783;30204000;0.550121278;6.863;30560300;0.553022613
1/02/2024;CENTRO;PRADO;303.05;41608800;0.463351255;633.84;87026200;0.643603228
1/02/2024;CENTRO;TOPOCORO;1594.7;611726900;0.591894511;2159.33;828319000;0.662602883
1/02/2024;ORIENTE;CHUZA;61.411;273457000;0.285380318;71.511;318431300;0.317417519
1/02/2024;ORIENTE;ESMERALDA;327.72;632532400;0.562204101;348.43;672504700;0.577224422
1/02/2024;ORIENTE;GUAVIO;201.832;552071100;0.380980446;444.592;1216092500;0.575501276
1/02/2024;VALLE;ALTOANCHICAYA;3.61;4186900;0.112601964;9.93;11516800;0.25872819
1/02/2024;VALLE;CALIMA1;327.46;168805600;0.770602772;431.82;222603200;0.815832195
1/02/2024;VALLE;SALVAJINA;437.69;323846800;0.611495254;529.14;391510700;0.655509054
2/02/2024;ANTIOQUIA;ITUANGO;33.523;16761500;0.064220307;1332.523;666261500;0.731753432
2/02/2024;ANTIOQUIA;MIRAFLORES;74.14;246545200;0.540694379;79.46;264236300;0.557848953
2/02/2024;ANTIOQUIA;PENOL;660.58;2611735100;0.63384443;738.42;2919491200;0.659291809
2/02/2024;ANTIOQUIA;PLAYAS;37.008;72987200;0.77067912;56.578;111583100;0.837076254
2/02/2024;ANTIOQUIA;PORCE II;40.901;58558000;0.47625788;79.691;114093600;0.639215503
2/02/2024;ANTIOQUIA;PORCE III;64.05;54717900;0.487814032;93.52;79894100;0.581700304
2/02/2024;ANTIOQUIA;PUNCHINA;18.76;27973000;0.427139705;32.68;48729100;0.565006359
2/02/2024;ANTIOQUIA;RIOGRANDE2;84.327;339365600;0.607630821;132.257;532255100;0.708355242
2/02/2024;ANTIOQUIA;SAN LORENZO;114.42;301187800;0.708439186;131.28;345568300;0.735998112
2/02/2024;ANTIOQUIA;TRONERAS;6.032;20058800;0.314166466;14.482;48158400;0.523760837
2/02/2024;CALDAS;AMANI;288.42;157621500;0.674619197;334.7;182913600;0.706401493
2/02/2024;CARIBE;URRA1;841.77;112628800;0.693745359;1195.78;159995400;0.762916631
2/02/2024;CENTRO;AGREGADO BOGOTA;535.745;2385618900;0.597602871;535.745;2385618900;0.597602871
