Fecha;Recurso;Codigo Agente;Version;Hora;Valor;Precio ofertado;MPO;Tecnologia;Ajuste;Precio ajustado;Prediccion_MPO
2016-02-01;GUAVIO;ENDG;TX5;0;196997.54;440.0;440.0;HIDRAULICA;384.48;384.48;451.05738292474683
2016-02-01;GUATRON;EPMG;TX5;1;384154.97;425.0;425.0;HIDRAULICA;384.48;384.48;437.08419448781103
2016-02-01;GUATRON;EPMG;TX5;2;228565.77;425.0;425.0;HIDRAULICA;384.48;384.48;437.2948426937139
2016-02-01;GUATRON;EPMG;TX5;3;211303.4;425.0;425.0;HIDRAULICA;384.48;384.48;440.75931576600124
2016-02-01;GUATRON;EPMG;TX5;4;434400.21;425.0;425.0;HIDRAULICA;384.48;384.48;438.1602914681136
2016-02-01;GUAVIO;ENDG;TX5;5;641308.63;440.0;440.0;HIDRAULICA;384.48;384.48;449.6677482725853
2016-02-01;GUAVIO;ENDG;TX5;6;878519.0;440.0;440.0;HIDRAULICA;384.48;384.48;457.10667910969335
2016-02-01;GUAVIO;ENDG;TX5;7;1141018.35;440.0;440.0;HIDRAULICA;384.48;384.48;455.56133893454125
2016-02-01;CHIVOR;CHVG;TX5;8;211583.83;451.01;451.01;HIDRAULICA;384.48;384.48;465.8464511690558
2016-02-01;CHIVOR;CHVG;TX5;9;617146.4;451.01;451.01;HIDRAULICA;384.48;384.48;466.36097575259254
2016-02-01;ALBAN;EPSG;TX5;10;272000.0;464.0;464.0;AUTOG;384.48;464.0;480.1543515465991
2016-02-01;SAN CARLOS;ISGG;TX5;11;221796.87;464.0;464.0;HIDRAULICA;384.48;384.48;482.0463990672552
2016-02-01;ALBAN;EPSG;TX5;12;263856.19;464.0;464.0;AUTOG;384.48;464.0;478.4900600195896
2016-02-01;ALBAN;EPSG;TX5;13;272000.0;464.0;464.0;AUTOG;384.48;464.0;479.6899389891469
2016-02-01;SAN CARLOS;ISGG;TX5;14;374488.72;464.0;464.0;HIDRAULICA;384.48;384.48;476.52086077320683
2016-02-01;SAN CARLOS;ISGG;TX5;15;328750.14;464.0;464.0;HIDRAULICA;384.48;384.48;478.5124485046779
2016-02-01;ALBAN;EPSG;TX5;16;272000.0;464.0;464.0;AUTOG;384.48;464.0;476.14294652995056
2016-02-01;CHIVOR;CHVG;TX5;17;819532.64;451.01;451.01;HIDRAULICA;384.48;384.48;461.0756650735451
2016-02-01;SAN CARLOS;ISGG;TX5;18;261365.16;464.0;464.0;HIDRAULICA;384.48;384.48;480.83428171196715
2016-02-01;SAN CARLOS;ISGG;TX5;19;720762.24;464.0;464.0;HIDRAULICA;384.48;384.48;478.53922353008306
2016-02-01;SAN CARLOS;ISGG;TX5;20;603909.24;464.0;464.0;HIDRAULICA;384.48;384.48;481.00420302113116
2016-02-01;SAN CARLOS;ISGG;TX5;21;296895.6;464.0;464.0;HIDRAULICA;384.48;384.48;482.04092884647287
2016-02-01;CHIVOR;CHVG;TX5;22;648124.98;451.01;451.01;HIDRAULICA;384.48;384.48;461.762686794382
2016-02-01;GUAVIO;ENDG;TX5;23;1136486.38;440.0;440.0;HIDRAULICA;384.48;384.48;449.6823822836629
2016-02-02;SAN CARLOS;ISGG;TX5;0;544310.88;416.0;416.0;HIDRAULICA;391.61;391.61;426.40512664471584
