Fecha;Recurso;Código Agente;Precio de Oferta Ideal $/kWh;Precio de Oferta de Despacho $/kWh;Precio de Oferta Declarado $/kWh
1/02/2016;ALBAN;EPSG;455.646367;464.000;464.000
1/02/2016;BARRANQUILLA 3;GECG;332.161367;340.515;340.515
1/02/2016;BARRANQUILLA 4;GECG;331.254367;339.608;339.608
1/02/2016;BETANIA;ENDG;860.076367;1500.000;1500.000
1/02/2016;CALIMA;EPSG;860.075367;869.000;869.000
1/02/2016;CARTAGENA 1;ENDG;473.101367;481.455;481.455
1/02/2016;CARTAGENA 2;ENDG;475.780367;484.134;484.134
1/02/2016;CARTAGENA 3;ENDG;467.592367;475.946;475.946
1/02/2016;CHIVOR;CHVG;442.656367;451.010;451.010
1/02/2016;CIMARRON;TMRG;71.646367;80.000;80.000
1/02/2016;EL QUIMBO;ENDG;860.072367;1000.000;1000.000
1/02/2016;FLORES 1;TMFG;375.646367;384.000;384.000
1/02/2016;FLORES 4B;TMFG;335.122367;343.476;343.476
1/02/2016;GECELCA 3;GECG;161.897367;170.251;170.251
1/02/2016;GUAJIRA 1;GECG;188.232367;196.586;196.586
1/02/2016;GUAJIRA 2;GECG;181.701367;190.055;190.055
1/02/2016;GUATAPE;EPMG;391.646367;400.000;400.000
1/02/2016;GUATRON;EPMG;416.646367;425.000;425.000
1/02/2016;GUAVIO;ENDG;431.646367;440.000;440.000
1/02/2016;JAGUAS;ISGG;483.646367;492.000;492.000
1/02/2016;LA TASAJERA;EPMG;441.646367;450.000;450.000
1/02/2016;MERILECTRICA 1;CIVG;376.126367;384.480;384.480
1/02/2016;MIEL I;ISGG;860.074367;1157.900;1157.900
1/02/2016;PAGUA;ENDG;58.648367;67.002;67.002
1/02/2016;PAIPA 1;HIMG;154.099367;162.453;162.453
1/02/2016;PAIPA 2;HIMG;135.174367;143.528;143.528
1/02/2016;PAIPA 3;HIMG;141.858367;150.212;150.212
1/02/2016;PAIPA 4;HIMG;129.499367;137.853;137.853
1/02/2016;PLAYAS;EPMG;371.646367;380.000;380.000
1/02/2016;PORCE II;EPMG;561.646367;570.000;570.000
1/02/2016;PORCE III;EPMG;471.646367;480.000;480.000
1/02/2016;PRADO;EPSG;860.073367;870.000;870.000
1/02/2016;PROELECTRICA 1;PRIG;270.316367;278.670;278.670
1/02/2016;PROELECTRICA 2;PRIG;270.316367;278.670;278.670
1/02/2016;SALVAJINA;EPSG;860.077367;880.000;880.000
1/02/2016;SAN CARLOS;ISGG;455.647367;464.001;464.001
1/02/2016;SOGAMOSO;ISGG;860.078367;1157.900;1157.900
1/02/2016;TASAJERO 1;TRMG;152.626367;160.980;160.980
1/02/2016;TASAJERO 2;TERG;163.126367;171.480;171.480
1/02/2016;TEBSAB;GECG;326.825367;335.179;335.179
1/02/2016;TERMOCANDELARIA 1;TCIG;803.080367;848.067;848.067
1/02/2016;TERMOCANDELARIA 2;TCIG;803.441367;856.547;856.547
1/02/2016;TERMOCENTRO CC;ISGG;354.756367;363.110;363.110
1/02/2016;TERMODORADA 1;EPMG;706.186367;714.540;714.540
1/02/2016;TERMOEMCALI 1;TEMG;355.697367;364.051;364.051
1/02/2016;TERMOSIERRAB;EPMG;347.983367;356.337;356.337
1/02/2016;TERMOVALLE 1;TMVG;425.885367;434.239;434.239
1/02/2016;TERMOYOPAL 2;TYPG;71.646367;80.000;80.000
1/02/2016;URRA;EMUG;58.649367;67.003;67.003
1/02/2016;ZIPAEMG 2;ENDG;164.014367;172.368;172.368
1/02/2016;ZIPAEMG 3;ENDG;167.637367;175.991;175.991
1/02/2016;ZIPAEMG 4;ENDG;165.570367;173.924;173.924
1/02/2016;ZIPAEMG 5;ENDG;161.708367;170.062;170.062
2/02/2016;ALBAN;EPSG;591.646367;600.000;600.000
2/02/2016;BARRANQUILLA 3;GECG;334.161367;342.515;342.515
2/02/2016;BARRANQUILLA 4;GECG;333.254367;341.608;341.608
2/02/2016;BETANIA;ENDG;860.076367;1500.000;1500.000
2/02/2016;CALIMA;EPSG;860.075367;869.000;869.000
2/02/2016;CARTAGENA 1;ENDG;467.592367;475.946;475.946
2/02/2016;CARTAGENA 2;ENDG;475.780367;484.134;484.134
2/02/2016;CARTAGENA 3;ENDG;473.101367;481.455;481.455
2/02/2016;CHIVOR;CHVG;472.762367;481.116;481.116
2/02/2016;CIMARRON;TMRG;71.646367;80.000;80.000
2/02/2016;EL QUIMBO;ENDG;860.072367;1000.000;1000.000
2/02/2016;FLORES 1;TMFG;382.646367;391.000;391.000
2/02/2016;FLORES 4B;TMFG;327.433367;335.787;335.787
2/02/2016;GECELCA 3;GECG;163.897367;172.251;172.251
2/02/2016;GUAJIRA 1;GECG;190.232367;198.586;198.586
2/02/2016;GUAJIRA 2;GECG;183.701367;192.055;192.055
2/02/2016;GUATAPE;EPMG;391.646367;400.000;400.000
2/02/2016;GUATRON;EPMG;416.646367;425.000;425.000
2/02/2016;GUAVIO;ENDG;58.648367;67.002;67.002
2/02/2016;JAGUAS;ISGG;483.646367;492.000;492.000
2/02/2016;LA TASAJERA;EPMG;441.646367;450.000;450.000
2/02/2016;MERILECTRICA 1;CIVG;383.257367;391.611;391.611
2/02/2016;MIEL I;ISGG;860.074367;1157.900;1157.900
2/02/2016;PAGUA;ENDG;501.646367;510.000;510.000
2/02/2016;PAIPA 1;HIMG;154.099367;162.453;162.453
2/02/2016;PAIPA 2;HIMG;135.174367;143.528;143.528
2/02/2016;PAIPA 3;HIMG;141.858367;150.212;150.212
2/02/2016;PAIPA 4;HIMG;129.499367;137.853;137.853
2/02/2016;PLAYAS;EPMG;371.646367;380.000;380.000
2/02/2016;PORCE II;EPMG;561.646367;570.000;570.000
2/02/2016;PORCE III;EPMG;471.646367;480.000;480.000
2/02/2016;PRADO;EPSG;860.073367;870.000;870.000
2/02/2016;PROELECTRICA 1;PRIG;270.316367;278.670;278.670
2/02/2016;PROELECTRICA 2;PRIG;270.316367;278.670;278.670
2/02/2016;SALVAJINA;EPSG;860.077367;880.000;880.000
2/02/2016;SAN CARLOS;ISGG;407.647367;416.001;416.001
2/02/2016;SOGAMOSO;ISGG;860.078367;1157.900;1157.900
2/02/2016;TASAJERO 1;TRMG;152.626367;160.980;160.980
2/02/2016;TASAJERO 2;TERG;163.126367;171.480;171.480
2/02/2016;TEBSAB;GECG;332.500367;340.854;340.854
2/02/2016;TERMOCANDELARIA 1;TCIG;803.080367;848.067;848.067
