Fecha;Código Agente;Precio de Oferta Ideal $/kWh;Precio de Oferta de Despacho $/kWh;Precio de Oferta Declarado $/kWh;Recurso
1/02/2024;EPSG;699.1761599;699;699;ALTO ANCHICAYA
1/02/2024;ISGG;306.1761599;306;306;AMOYA LA ESPERANZA
1/02/2024;TBSG;1028.06616;1027.89;1027.89;BARRANQUILLA 3
1/02/2024;TBSG;1043.48416;1043.308;1043.308;BARRANQUILLA 4
1/02/2024;ENDG;580.1761599;580;580;BETANIA
1/02/2024;EPSG;700.1761599;700;700;CALIMA
1/02/2024;HDPG;81.17615988;81.00001;81;CARLOS LLERAS
1/02/2024;NTCG;1303.49316;1303.317;1303.317;CARTAGENA 1
1/02/2024;NTCG;1373.94816;1373.772;1373.772;CARTAGENA 2
1/02/2024;NTCG;1463.52816;1463.352;1463.352;CARTAGENA 3
1/02/2024;CHVG;679.1761599;679;679;CHIVOR
1/02/2024;EPSG;97.96615988;97.79;97.79;CUCUANA
1/02/2024;ENDG;100.1761599;100.00001;100;DARIO VALENCIA SAMPER
1/02/2024;ENDG;100.1761599;100;100;EL QUIMBO
1/02/2024;HDPG;81.17615988;81;81;ESCUELA DE MINAS
1/02/2024;EPMG;92.81615988;92.64001;92.64;ESMERALDA
1/02/2024;TMFG;440.1761599;440;440;FLORES 4 CC
1/02/2024;TMFG;470.1761599;470.00001;470;FLORES I CC
1/02/2024;GECG;232.0511599;231.875;231.875;GECELCA 3
1/02/2024;GECG;226.4281599;226.252;226.252;GECELCA 32
1/02/2024;GECG;471.9091599;471.733;471.733;GUAJIRA 1
1/02/2024;GECG;545.5071599;545.331;545.331;GUAJIRA 2
1/02/2024;EPMG;89.96615988;89.79003;89.79;GUATAPE
1/02/2024;EPMG;697.1761599;697;697;GUATRON
1/02/2024;ENDG;690.1761599;690;690;GUAVIO
1/02/2024;EPMG;92.81615988;92.64002;92.64;ITUANGO
1/02/2024;ISGG;861.1761599;861;861;JAGUAS
1/02/2024;EPMG;89.96615988;89.79002;89.79;LA TASAJERA
1/02/2024;EPSG;540.5691599;540.393;540.393;MERILECTRICA 1
1/02/2024;ISGG;862.1761599;862;862;MIEL I
1/02/2024;ENDG;780.1761599;780;780;PAGUA
1/02/2024;HIMG;394.2361599;394.06;394.06;PAIPA 1
1/02/2024;HIMG;357.6631599;357.487;357.487;PAIPA 2
1/02/2024;HIMG;374.8141599;374.638;374.638;PAIPA 3
1/02/2024;SOCG;291.7461599;291.57;291.57;PAIPA 4
1/02/2024;EPMG;92.81615988;92.64;92.64;PLAYAS
1/02/2024;EPMG;698.1761599;698;698;PORCE II
1/02/2024;EPMG;89.96615988;89.79004;89.79;PORCE III
1/02/2024;EPSG;619.1761599;619;619;PRADO
1/02/2024;PRIG;524.7661599;524.59;524.59;PROELECTRICA 1
1/02/2024;PRIG;524.7661599;524.59;524.59;PROELECTRICA 2
1/02/2024;ENDG;101.1761599;101;101;SALTO II
1/02/2024;EPSG;999.1761599;999;999;SALVAJINA
1/02/2024;ISGG;89.96615988;89.79;89.79;SAN CARLOS
1/02/2024;EPMG;92.81615988;92.64003;92.64;SAN FRANCISCO
1/02/2024;ISGG;89.96615988;89.79001;89.79;SAN MIGUEL
1/02/2024;ISGG;860.6761599;860.5;860.5;SOGAMOSO
1/02/2024;TRMG;120.1561599;119.98;119.98;TASAJERO 1
1/02/2024;TERG;120.4561599;120.28;120.28;TASAJERO 2
1/02/2024;TBSG;615.2351599;607.25;607.25;TEBSAB CC
1/02/2024;TCIG;670.1109099;664.094;664.094;TERMOCANDELARIA CC
1/02/2024;TCNG;1934.60816;1934.432;1934.432;TERMOCENTRO CC
1/02/2024;EPMG;2714.67716;2714.501;2714.501;TERMODORADA 1
1/02/2024;TEMG;1959.17117;1958.995;1958.995;TERMOEMCALI CC
1/02/2024;TMNG;960.1761599;960;960;TERMONORTE
1/02/2024;EPMG;1382.22316;1303.888;1303.888;TERMOSIERRA CC
1/02/2024;TMVG;470.1761599;470;470;TERMOVALLE CC
1/02/2024;TYPG;500.1761599;500;500;TERMOYOPAL 1
1/02/2024;TYPG;87.17615988;87.00002;87;TERMOYOPAL 2
1/02/2024;TYPG;87.17615988;87;87;TERMOYOPAL G3
1/02/2024;TYPG;87.17615988;87.00001;87;TERMOYOPAL G4
